study_hours,attendance_rate,prev_exam_score,grade
3.7,0.85,86,B
9.5,0.77,51,B
7.3,0.65,55,C
6.0,0.91,63,A
1.6,0.84,58,C
1.6,0.58,47,F
0.6,0.96,70,C
8.7,0.91,60,A
6.0,0.97,56,B
7.1,0.86,62,A
0.2,0.81,76,D
9.7,0.71,93,A
8.3,0.97,55,A
2.1,0.93,45,D
1.8,0.52,47,F
1.8,0.51,64,F
3.0,0.69,57,F
5.2,0.91,64,C
4.3,0.99,51,B
2.9,0.58,54,D
6.1,0.8,98,A
1.4,0.69,65,D
2.9,0.98,80,B
3.7,0.92,84,A
4.6,0.92,65,A
7.9,0.73,86,A
2.0,0.71,71,C
5.1,0.64,49,D
5.9,0.53,55,C
0.5,0.93,46,D
6.1,0.91,56,B
1.7,1.0,62,C
0.7,1.0,65,B
9.5,0.78,60,A
9.7,0.88,61,A
8.1,0.97,97,A
3.0,0.92,46,D
1.0,0.62,53,D
6.8,0.73,54,B
4.4,0.56,92,B
1.2,0.98,46,C
5.0,0.8,48,C
0.3,0.61,90,B
9.1,0.84,87,A
2.6,0.81,47,D
6.6,0.68,89,B
3.1,0.56,98,B
5.2,0.84,62,B
5.5,0.76,68,B
1.8,0.89,57,D
9.7,0.76,70,A
7.8,0.93,69,A
9.4,0.78,91,A
8.9,0.78,78,A
6.0,0.94,74,A
9.2,0.7,57,B
0.9,0.57,98,C
2.0,0.51,81,D
0.5,0.88,78,C
3.3,0.81,56,D
3.9,0.85,53,C
2.7,0.61,70,D
8.3,0.57,63,A
3.6,0.51,74,C
2.8,0.68,83,C
5.4,0.79,99,A
1.4,0.7,84,C
8.0,0.72,73,A
0.7,0.95,42,F
9.9,0.67,76,A
7.7,0.76,82,A
2.0,0.89,79,C
0.1,0.7,65,D
8.2,0.81,94,A
7.1,0.93,62,B
7.3,0.97,83,A
7.7,0.57,78,B
0.7,0.96,54,F
3.6,0.75,95,B
1.2,0.63,88,C
8.6,0.73,43,B
6.2,0.99,68,A
3.3,0.75,61,C
0.6,0.66,64,D
3.1,0.82,52,D
3.3,0.62,57,F
7.3,0.54,72,B
6.4,0.56,55,C
8.9,0.56,84,A
4.7,0.58,81,B
1.2,0.57,83,C
7.1,0.82,41,C
7.6,0.59,94,A
5.6,0.67,74,B
7.7,0.95,81,A
4.9,0.74,73,C
5.2,0.83,69,B
4.3,0.59,98,B
0.3,0.6,94,C
1.1,0.52,52,F
0.3,0.58,52,F
6.4,0.64,57,C
3.1,0.59,71,C
5.1,0.54,71,C
9.1,0.56,74,B
2.5,0.73,98,B
4.1,0.6,78,B
7.6,0.68,85,A
2.3,0.75,91,B
0.8,0.85,68,D
2.9,0.52,88,C
1.6,0.9,68,C
9.3,0.81,92,A
8.1,0.54,83,B
6.3,0.94,96,A
8.7,0.96,55,B
8.0,0.53,95,A
1.9,0.64,83,D
8.9,0.9,86,A
5.4,0.87,96,A
8.1,0.59,49,B
9.0,0.6,69,A
3.2,0.69,64,C
1.1,0.74,78,B
2.3,0.81,59,D
4.3,0.68,44,D
8.2,0.73,40,B
8.6,0.87,69,A
0.1,0.52,88,D
5.1,0.63,42,D
4.2,0.86,84,A
2.2,0.95,53,C
1.2,0.76,95,C
3.4,0.77,69,D
9.4,0.55,89,A
3.2,0.72,43,D
5.2,0.77,57,D
7.0,0.62,76,A
3.6,0.63,64,D
9.7,0.69,87,A
9.6,0.51,40,C
2.5,0.66,92,B
5.0,0.61,85,B
3.0,0.66,54,D
2.8,0.56,48,F
0.4,0.95,54,D
6.1,0.8,88,A
5.0,0.84,96,A
0.5,0.89,63,D
2.8,0.75,43,D
9.1,0.54,51,B
2.4,0.77,98,B
1.4,0.79,97,B
4.9,0.87,76,A
9.9,0.72,76,A
2.4,0.56,82,C
6.7,0.64,99,A
7.6,0.68,45,B
2.4,0.82,78,D
7.3,0.79,95,A
3.7,0.68,85,B
6.3,0.99,63,B
6.3,0.8,50,B
5.4,0.62,52,D
0.9,0.55,73,D
8.4,0.58,64,B
3.2,0.62,46,D
1.9,0.58,91,C
0.4,0.59,43,F
5.9,0.64,98,A
6.8,0.59,47,C
0.2,0.95,59,D
5.1,0.54,68,C
2.3,0.76,93,B
6.5,0.71,92,A
1.7,0.99,90,C
6.9,0.56,84,A
3.9,0.7,85,C
9.4,0.98,49,A
1.4,0.93,82,B
3.4,0.91,73,B
1.1,0.63,96,D
9.2,0.59,65,A
8.8,0.83,80,A
2.6,0.96,88,B
